id,name,sort_name,type,gender,country,life_span_begin,life_span_end,disambiguation,score
6f4b441a-3197-47bd-b572-a53ae4ba3b00,Benjamin Blümchen,"Blümchen, Benjamin",Character,male,DE,1977,,fictitious artist,75
23d8426c-18c7-46e6-a51d-7395bd43c641,Tangerine Dream,Tangerine Dream,Group,,DE,1967-09,,,75
c999f4ef-8733-46f8-ae3a-d5628c260ea8,Falcom Sound Team jdk,Falcom Sound Team jdk,Group,,JP,1988,,,75
9650eef7-244e-4acc-bbd7-440656dfe670,Diana Gabaldon,"Gabaldon, Diana",Person,female,US,1952-01-11,,,75
5e6c760b-42e0-4df4-a221-0269355da00a,Dean Martin,"Martin, Dean",Person,male,US,1917-06-07,1995-12-25,American singer/actor,75
2c05faf7-5cc8-4476-9daa-d177ad75cd34,Jim Reeves,"Reeves, Jim",Person,male,US,1923-08-20,1964-07-31,US country & pop singer,75
2f9ecbed-27be-40e6-abca-6de49d50299e,Aretha Franklin,"Franklin, Aretha",Person,female,US,1942-03-25,2018-08-16,,75
ec603890-d3a2-4b89-bd9a-92da3905b7f6,TCLB,TCLB,Person,male,,,,field recordings,75
afdb7919-059d-43c1-b668-ba1d265e7e42,Marvin Gaye,"Gaye, Marvin",Person,male,US,1939-04-02,1984-04-01,,75
f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,"Jackson, Michael",Person,male,US,1958-08-29,2009-06-25,“King of Pop”,75
ddea5540-2c7d-4266-8507-b367c2635d35,Henry Purcell,"Purcell, Henry",Person,male,GB,1659-09-10,1695-11-21,Baroque composer,75
ca891d65-d9b0-4258-89f7-e6ba29d83767,Iron Maiden,Iron Maiden,Group,,GB,1975-12-25,,English heavy metal band,74
846be3c9-5f94-46ab-97b9-531335dd3658,Gioachino Rossini,"Rossini, Gioachino",Person,male,IT,1792-02-29,1868-11-13,composer,74
8255db36-4902-4cf6-8612-0f2b4288bc9a,Johann Strauss,"Strauss, Johann",Person,male,AT,1825-10-25,1899-06-03,"Austro-German composer, „Walzerkönig“, Johann Strauss II, Sohn, Jr., the Younger, the Son",74
d3d9bc09-f1c1-49bc-94e0-e7897f60f4c3,Stefan Wolf,"Wolf, Stefan",Person,male,DE,1938-04-17,2007-03-10,author of the “TKKG” book series,74
04bc4810-605f-47b8-9dcf-22d16932c270,Andreas Fröhlich,"Fröhlich, Andreas",Person,male,DE,1965-07-11,,German voice actor and reciter,74
b09ae88f-4156-4caa-b129-1cacb5e1632e,Benny Goodman,"Goodman, Benny",Person,male,US,1909-05-30,1986-06-13,clarinetist and bandleader,74
f4d63ad6-3904-4151-b5b7-83b960f4bca6,Detlef Bierstedt,"Bierstedt, Detlef",Person,male,DE,1952-06-10,,German voice actor,74
323ed974-8bf6-4f54-9525-b774a659f805,Johnny Hallyday,"Hallyday, Johnny",Person,male,FR,1943-06-15,2017-12-06,,74
58537de9-45ed-4b6b-9f67-e9571c63bc03,Ken Follett,"Follett, Ken",Person,male,GB,1949-06-05,,,74
57961a97-3796-4bf7-9f02-a985a8979ae9,Motörhead,Motörhead,Group,,GB,1975-06,2015-12-28,,74
c5e0328e-035a-45da-9ae5-908bf22169aa,Karel Gott,"Gott, Karel",Person,male,CZ,1939-07-14,2019-10-01,,74
9efff43b-3b29-4082-824e-bc82f646f93d,The Doors,"Doors, The",Group,,US,1965-07,1973-01,,74
9a3bf45c-347d-4630-894d-7cf3e8e0b632,Santana,Santana,Group,,US,1966,,"US Latin, blues, & rock band",74
351d8bdf-33a1-45e2-8c04-c85fad20da55,Sarah Vaughan,"Vaughan, Sarah",Person,female,US,1924-03-27,1990-04-03,,74
592a3b6d-c42b-4567-99c9-ecf63bd66499,Chuck Berry,"Berry, Chuck",Person,male,US,1926-10-18,2017-03-18,,74
ece57992-dc2e-4f67-a269-fa43626c1a3d,Jethro Tull,Jethro Tull,Group,,GB,1967-12,,,74
9bd20e6a-b41d-4983-a5b6-c0ff849fa235,Georges Bizet,"Bizet, Georges",Person,male,FR,1838-10-25,1875-06-03,French composer,74
f86f1f07-d182-45ce-ae93-ef610880ca72,Muddy Waters,Muddy Waters,Person,male,US,1913-04-04,1983-04-30,blues musician,74
2fddb92d-24b2-46a5-bf28-3aed46f4684c,Kylie Minogue,"Minogue, Kylie",Person,female,AU,1968-05-28,,,74
e1d521ea-5b97-4981-987c-ba988b2a87d7,Erik Satie,"Satie, Erik",Person,male,FR,1866-05-17,1925-07-01,French composer,74
4137c070-15b2-4d00-a9f0-3517d02a9ba8,Camille Saint‐Saëns,"Saint‐Saëns, Camille",Person,male,FR,1835-10-09,1921-12-16,composer,74
3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Aerosmith,Aerosmith,Group,,US,1970,,American hard rock band,74
deb2448c-6fdf-4d31-921e-757630515dbd,Merle Haggard,"Haggard, Merle",Person,male,US,1937-04-06,2016-04-06,"US country singer, guitarist, fiddler & songwriter",74
1ba1d493-7114-45e2-b163-a36d49a0c065,Chet Baker,"Baker, Chet",Person,male,US,1929-12-23,1988-05-13,American jazz trumpeter and vocalist,74
e9ba8ccb-505f-4e5c-b909-65998d0d35b5,Dizzy Gillespie,"Gillespie, Dizzy",Person,male,US,1917-10-21,1993-01-06,,74
